Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
BTC,7/14/2022,20569.91992,20211.4668,20789.89453,19689.25781
BTC,7/15/2022,20836.32813,20573.15625,21138.24414,20397
BTC,7/16/2022,21190.31641,20834.10352,21514.4043,20518.89844
BTC,7/17/2022,20779.34375,21195.04102,21600.64063,20778.17969
BTC,7/18/2022,22485.68945,20781.91211,22633.0332,20781.91211
BTC,7/19/2022,23389.43359,22467.84961,23666.96289,21683.40625
BTC,7/20/2022,23231.73242,23393.19141,24196.81836,23009.94922
BTC,7/21/2022,23164.62891,23233.20117,23388.32227,22431.14844
BTC,7/22/2022,22714.97852,23163.75195,23671.92773,22603.41602
BTC,7/23/2022,22465.47852,22706.98438,22977.21094,22002.91016
BTC,7/24/2022,22609.16406,22465.50977,22974.00195,22306.83984
BTC,7/25/2022,21361.70117,22607.15625,22649.12109,21361.64258
BTC,7/26/2022,21239.75391,21361.12109,21361.12109,20776.81641
BTC,7/27/2022,22930.54883,21244.16992,22986.5293,21070.80664
BTC,7/28/2022,23843.88672,22933.64063,24110.4707,22722.26563
BTC,7/29/2022,23804.63281,23845.21289,24294.78711,23481.17383
BTC,7/30/2022,23656.20703,23796.81836,24572.58008,23580.50781
BTC,7/31/2022,23336.89648,23652.07031,24121.64258,23275.70313
BTC,8/1/2022,23314.19922,23336.71875,23464.78711,22890.79688
BTC,8/2/2022,22978.11719,23308.43359,23415.04102,22710.08398
BTC,8/3/2022,22846.50781,22981.30273,23578.65039,22747.83594
BTC,8/4/2022,22630.95703,22848.21484,23198.00977,22485.70117
BTC,8/5/2022,23289.31445,22626.83398,23422.82813,22612.17773
BTC,8/6/2022,22961.2793,23291.42383,23326.5625,22961.2793
BTC,8/7/2022,23175.89063,22963.50586,23359.00977,22894.55664
BTC,8/8/2022,23809.48633,23179.52734,24203.68945,23176.54688
BTC,8/9/2022,23164.31836,23811.48438,23898.61523,22982
BTC,8/10/2022,23947.64258,23162.89844,24127.41406,22771.51953
BTC,8/11/2022,23957.5293,23948.3457,24822.62891,23900.99609
BTC,8/12/2022,24402.81836,23957.20313,24412.56641,23657.26563
BTC,8/13/2022,24424.06836,24402.1875,24860.05078,24346.11523
BTC,8/14/2022,24319.33398,24429.05664,24974.91406,24206.25977
BTC,8/15/2022,24136.97266,24318.31641,25135.58984,23839.77539
BTC,8/16/2022,23883.29102,24126.13672,24228.41602,23733.5
BTC,8/17/2022,23335.99805,23881.31641,24407.05859,23243.35352
BTC,8/18/2022,23212.73828,23341.03906,23563.83203,23177.60156
BTC,8/19/2022,20877.55273,23213.3125,23213.3125,20868.84766
BTC,8/20/2022,21166.06055,20872.8418,21350.80664,20856.73047
BTC,8/21/2022,21534.12109,21160.39258,21668.8457,21103.19727
BTC,8/22/2022,21398.9082,21531.46289,21531.46289,20939.18359
BTC,8/23/2022,21528.08789,21401.04492,21646.20313,20955.13867
BTC,8/24/2022,21395.01953,21526.45508,21783.07617,21195.00586
BTC,8/25/2022,21600.9043,21395.45898,21789.63672,21362.44141
BTC,8/26/2022,20260.01953,21596.08594,21804.9082,20199.48242
BTC,8/27/2022,20041.73828,20262.48047,20340.77539,19890.52344
BTC,8/28/2022,19616.81445,20041.03516,20139.05469,19616.81445
BTC,8/29/2022,20297.99414,19615.1543,20357.46289,19600.78516
BTC,8/30/2022,19796.80859,20298.61133,20542.64453,19617.64063
BTC,8/31/2022,20049.76367,19799.58203,20420.99023,19799.58203
BTC,9/1/2022,20127.14063,20050.49805,20198.39063,19653.96875
BTC,9/2/2022,19969.77148,20126.07227,20401.56836,19814.76563
BTC,9/3/2022,19832.08789,19969.71875,20037.00977,19698.35547
BTC,9/4/2022,19986.71289,19832.4707,19999.68945,19636.81641
BTC,9/5/2022,19812.37109,19988.78906,20031.16016,19673.04688
BTC,9/6/2022,18837.66797,19817.72461,20155.26953,18800.17188
BTC,9/7/2022,19290.32422,18837.68359,19427.17188,18644.4668
BTC,9/8/2022,19329.83398,19289.94141,19417.35156,19076.71484
BTC,9/9/2022,21381.15234,19328.14063,21439.41016,19310.96289
BTC,9/10/2022,21680.53906,21376.91211,21760.27539,21168.72266
BTC,9/11/2022,21769.25586,21678.54297,21770.55273,21406.94531
BTC,9/12/2022,22370.44922,21770.14844,22439.18164,21603.89648
BTC,9/13/2022,20296.70703,22371.48047,22673.82031,20062.66992
BTC,9/14/2022,20241.08984,20184.55469,20467.20117,19793.39648
BTC,9/15/2022,19701.21094,20242.28906,20318.16602,19636.73438
BTC,9/16/2022,19772.58398,19704.00586,19870.62891,19400.07617
BTC,9/17/2022,20127.57617,19777.0332,20162.53125,19777.0332
BTC,9/18/2022,19419.50586,20127.23438,20127.23438,19387.49219
BTC,9/19/2022,19544.12891,19418.57227,19639.48047,18390.31836
BTC,9/20/2022,18890.78906,19545.5918,19602.45703,18813.45508
BTC,9/21/2022,18547.40039,18891.2832,19674.63086,18290.31445
BTC,9/22/2022,19413.55078,18534.65039,19456.91016,18415.5918
BTC,9/23/2022,19297.63867,19412.40039,19464.67188,18617.55273
BTC,9/24/2022,18937.01172,19296.99023,19310.19727,18861.97461
BTC,9/25/2022,18802.09766,18936.31055,19134.73242,18696.46875
BTC,9/26/2022,19222.67188,18803.90039,19274.87305,18721.28516
BTC,9/27/2022,19110.54688,19221.83984,20338.45508,18915.66797
BTC,9/28/2022,19426.7207,19104.62109,19688.34375,18553.29688
BTC,9/29/2022,19573.05078,19427.7793,19589.26563,18924.35352
BTC,9/30/2022,19431.78906,19573.43164,20109.84961,19265.66211
BTC,10/1/2022,19312.0957,19431.10547,19471.1543,19231.08203
BTC,10/2/2022,19044.10742,19311.84961,19370.30859,18970.62109
BTC,10/3/2022,19623.58008,19044.06836,19653.54297,19025.22656
BTC,10/4/2022,20336.84375,19623.58398,20380.34375,19523.83984
BTC,10/5/2022,20160.7168,20335.90039,20343.74805,19801.80078
BTC,10/6/2022,19955.44336,20161.03906,20408.39258,19900.08789
BTC,10/7/2022,19546.84961,19957.55859,20041.08594,19395.79297
BTC,10/8/2022,19416.56836,19546.32813,19601.69531,19299.41406
BTC,10/9/2022,19446.42578,19417.47852,19542.53906,19349.25977
BTC,10/10/2022,19141.48438,19446.41602,19515.4668,19102.97852
BTC,10/11/2022,19051.41797,19139,19241.96094,18925.60352
BTC,10/12/2022,19157.44531,19052.64648,19203.19922,19029.75781
BTC,10/13/2022,19382.9043,19156.9668,19453.32813,18319.82227
BTC,10/14/2022,19185.65625,19382.5332,19889.14648,19115.4082
BTC,10/15/2022,19067.63477,19185.4375,19212.54102,19019.25
BTC,10/16/2022,19268.09375,19068.91406,19389.60352,19068.91406
BTC,10/17/2022,19550.75781,19268.5625,19635.80273,19173.33398
BTC,10/18/2022,19334.41602,19550.4668,19666.99414,19144.76953
BTC,10/19/2022,19139.53516,19335.02734,19348.41602,19127.6875
BTC,10/20/2022,19053.74023,19138.08594,19315.19922,18971.45898
